owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
dchest,tweetnacl-js,36.2,19.9,1.4,46.2,77.4,16.0,40.5,2.7,4.7,47.6,54.6,65.5,27.6,42.9,23.1,52.0,2.4,15.1,45.4,30.7
webpack-contrib,css-loader,46.9,42.7,27.6,55.5,61.8,40.7,56.1,31.2,34.7,73.7,67.9,73.5,89.5,63.7,53.1,76.7,33.8,48.9,60.7,53.6
inspect-js,node-deep-equal,23.5,15.7,7.2,39.1,31.8,20.5,41.2,15.6,4.8,54.0,40.1,48.0,87.5,40.4,32.2,41.5,17.3,37.8,36.2,32.5
sindresorhus,file-type,52.8,26.8,25.6,81.8,77.2,36.4,56.0,22.4,30.9,61.7,65.0,64.6,69.2,47.9,39.8,33.0,29.4,57.0,55.3,47.7
defunctzombie,node-url,34.1,23.4,2.8,27.4,82.6,16.7,39.8,5.5,4.9,25.9,28.5,40.5,8.8,25.9,18.5,18.5,12.9,24.2,28.6,23.8
joyent,node-verror,24.2,,,66.8,30.0,10.5,31.4,,,51.0,49.1,31.8,84.0,39.2,17.9,35.7,,18.0,30.5,25.9
import-js,eslint-plugin-import,37.2,26.0,24.3,85.5,12.9,44.4,60.8,36.5,35.9,70.9,70.3,86.7,87.1,39.4,58.3,53.7,40.3,80.8,67.1,52.7
nodejs,-1,31.6,2.9,7.1,60.3,56.0,23.4,42.8,15.7,11.6,62.6,64.0,70.3,85.2,30.8,43.1,44.7,5.8,78.8,52.6,40.1
shtylman,node-process,6.2,2.0,,22.6,,12.6,37.9,,,23.4,16.0,30.9,8.7,38.0,20.9,16.5,,46.3,19.8,15.8
digitalbazaar,forge,36.5,32.8,,59.0,54.2,18.7,45.4,10.6,,50.3,69.4,76.1,8.0,47.7,28.2,22.3,0.6,61.8,54.7,33.4
sindresorhus,got,45.5,30.2,21.2,55.0,75.4,33.1,53.7,21.9,23.7,73.7,84.8,80.2,78.2,51.4,50.4,42.1,24.6,84.4,66.0,50.6
postcss,autoprefixer,35.9,19.5,21.3,51.5,51.1,29.4,46.5,19.2,22.6,82.2,90.7,83.8,92.2,62.0,45.9,51.4,20.7,65.7,68.0,48.4
webpack,webpack-dev-middleware,56.3,46.1,30.2,90.4,58.5,34.0,39.0,40.4,22.5,68.9,60.3,65.4,89.8,60.0,54.8,62.1,32.4,69.8,53.2,53.5
TypeStrong,ts-node,45.8,30.2,25.6,90.4,36.9,31.1,51.1,22.1,20.0,68.0,82.7,71.0,75.8,42.3,52.0,81.1,30.5,44.5,61.6,49.2
sindresorhus,ora,40.6,23.7,5.0,57.3,76.4,20.9,42.0,9.0,11.7,61.7,78.1,62.8,78.1,28.0,36.5,36.0,13.9,59.5,53.9,39.9
visionmedia,node-progress,22.1,2.1,,26.3,60.0,10.5,31.6,,,44.9,62.3,61.3,7.9,48.1,18.7,10.2,,45.9,44.7,24.1
Gozala,querystring,25.4,,1.8,23.3,76.5,13.9,33.1,3.1,5.6,46.5,24.3,33.7,83.5,44.5,24.1,35.5,3.7,33.1,24.0,27.5
mishoo,UglifyJS,46.1,33.9,8.4,80.7,61.5,19.5,41.5,17.0,,63.7,83.4,85.0,19.9,66.3,33.6,15.3,24.8,60.7,62.6,40.7
mathiasbynens,he,31.4,18.7,,41.4,65.4,11.4,34.2,,,61.0,64.6,59.2,88.9,31.4,20.4,43.1,,18.1,45.1,31.1
expressjs,compression,27.9,17.3,,36.9,57.5,11.4,34.2,,,63.5,61.5,57.4,91.2,43.7,30.0,45.9,2.0,42.0,43.4,33.2
dcodeIO,long.js,20.6,7.2,9.2,20.6,45.2,15.2,35.9,9.8,,37.5,43.6,55.8,7.8,42.8,26.7,27.7,18.3,34.2,38.2,25.0
webpack,memory-fs,17.5,,,11.1,59.0,10.1,28.5,1.9,,47.0,44.0,38.1,81.7,24.0,42.8,73.3,,55.0,30.7,29.3
arcanis,jest-pnp-resolver,14.6,,,10.8,47.8,9.5,28.5,,,27.2,10.7,12.8,83.2,2.3,17.5,35.1,,17.4,11.0,17.2
unshiftio,url-parse,21.7,,,33.3,53.6,9.5,28.6,,,48.7,46.1,41.9,86.4,20.4,31.9,44.2,,51.5,32.5,28.0
sindresorhus,meow,39.2,18.1,16.4,47.2,75.2,24.3,41.2,21.0,10.9,57.4,65.4,49.1,77.9,37.3,38.1,35.3,19.2,59.7,46.3,39.8
Leonidas-from-XIV,node-xml2js,34.6,23.6,20.7,47.1,47.0,20.8,41.6,13.2,7.4,52.1,69.0,72.1,19.8,47.6,40.7,48.4,3.7,70.2,53.9,37.1
babel,babel-loader,43.5,32.4,22.4,76.2,43.0,30.4,47.9,22.6,20.8,67.3,68.9,69.1,90.0,41.3,58.1,77.5,23.1,73.6,56.1,49.8
iamkun,dayjs,33.4,24.7,31.9,68.6,8.1,43.9,59.5,34.8,37.5,72.1,97.1,91.0,71.0,29.4,66.9,84.7,33.9,82.2,77.3,54.1
date-fns,date-fns,32.0,25.1,36.5,55.9,10.6,46.1,60.7,40.7,37.0,75.9,96.0,88.0,72.8,46.8,61.8,73.3,40.0,72.0,76.7,54.0
request,request,37.9,16.8,4.8,80.2,50.1,18.4,43.5,11.8,,79.1,93.1,93.9,83.8,45.7,43.8,45.3,,86.2,68.5,44.8
Qix-,color,24.9,4.7,,40.9,54.1,11.5,34.4,,,67.7,68.6,64.2,81.2,56.7,33.3,38.1,,61.7,48.1,34.3
sindresorhus,get-stdin,35.3,18.5,0.7,46.7,75.1,14.2,33.6,1.4,7.5,39.2,26.8,20.3,78.6,31.2,29.5,39.7,4.1,44.7,20.4,29.5
puleos,object-hash,21.6,27.8,,44.1,14.5,9.7,29.0,,,52.7,51.3,49.7,84.6,25.1,47.5,74.3,8.3,60.0,36.9,32.9
svg,svgo,39.0,28.5,30.9,80.5,15.9,45.0,56.4,41.0,37.6,80.4,89.7,85.3,87.7,58.9,56.9,70.8,38.2,61.6,73.3,55.3
webpack-contrib,style-loader,45.4,44.3,21.4,53.0,62.8,27.7,43.1,19.1,20.9,67.6,54.2,69.9,87.3,58.9,54.5,76.1,23.6,63.8,50.6,48.8
mridgway,hoist-non-react-statics,23.0,,,27.4,64.6,9.7,29.0,,,49.6,55.8,40.8,79.2,22.8,48.9,84.1,,62.5,35.4,32.8
ljharb,shell-quote,28.5,9.0,5.8,50.9,48.4,17.6,38.6,6.5,7.6,6.2,9.6,10.4,4.4,0.2,26.9,14.7,15.1,50.8,12.5,19.8
clean-css,clean-css,36.6,19.1,23.3,79.4,24.7,33.8,51.1,20.8,29.4,66.2,67.4,63.8,88.3,45.5,41.7,51.6,27.6,46.0,55.0,44.6
jsx-eslint,eslint-plugin-react,36.0,24.7,24.1,72.4,22.6,44.5,59.4,35.6,38.4,76.5,78.0,93.0,87.2,47.9,60.5,50.1,41.1,90.5,71.8,54.4
mdevils,html-entities,19.5,17.1,,22.3,38.5,12.6,34.5,3.2,,53.8,36.7,43.8,89.6,45.2,36.1,70.7,8.3,29.2,31.0,30.5
immutable-js,immutable-js,32.4,13.9,22.8,50.8,42.1,33.9,45.9,32.2,23.5,61.8,95.7,88.5,16.3,46.7,47.1,57.2,28.0,56.0,72.7,43.8
webpack-contrib,postcss-loader,47.1,46.6,25.1,54.6,62.1,32.9,46.5,26.3,25.9,62.1,62.1,55.5,88.6,42.0,56.3,76.6,28.6,63.8,50.2,49.6
mcollina,split2,27.9,19.8,,29.4,62.6,9.6,28.8,,,36.4,23.8,18.8,66.2,36.6,28.0,31.2,5.3,47.5,17.4,25.5
TypeStrong,fork-ts-checker-webpack-plugin,45.6,30.2,29.1,86.3,36.9,33.6,48.7,22.4,29.7,57.9,56.5,57.7,81.5,35.8,54.2,79.3,26.8,56.5,49.3,47.8
unclechu,node-deep-extend,16.5,,,17.0,49.1,11.1,33.2,,,31.5,20.3,30.3,32.4,43.0,20.4,23.7,,37.4,20.6,19.9
rollup,rollup,43.6,25.5,24.1,87.6,37.0,49.4,64.1,43.8,40.2,77.4,92.9,85.6,83.7,47.5,54.6,61.3,43.1,59.3,76.0,56.2
zertosh,invariant,17.3,,,23.7,45.5,11.1,33.2,,,47.2,49.3,35.3,83.0,21.2,21.7,39.7,,25.3,31.9,24.3
http-party,node-http-proxy,35.6,14.7,9.2,66.7,51.8,18.1,45.8,8.6,,60.8,84.5,89.1,21.0,48.8,45.6,55.8,,81.0,63.9,40.0
lquixada,cross-fetch,25.7,21.2,17.5,41.1,22.9,25.0,44.2,20.6,10.3,46.3,54.1,41.5,69.0,20.6,29.4,45.6,21.7,21.0,40.2,31.6
sindresorhus,log-update,33.5,,1.9,55.7,76.3,15.0,33.5,3.9,7.7,40.6,46.8,23.2,68.5,23.9,27.3,33.3,6.2,42.5,28.3,29.1
then,promise,26.5,,13.4,41.5,51.3,11.4,30.9,3.4,,65.3,60.7,63.7,87.0,49.8,28.8,36.3,,50.0,45.3,33.0
sindresorhus,del,40.8,24.0,9.6,52.7,77.0,18.7,38.2,7.3,10.4,50.4,51.1,33.6,83.6,33.5,35.0,40.2,9.9,54.8,34.5,36.2
sindresorhus,boxen,35.6,14.1,5.5,46.3,76.5,21.5,38.1,7.5,18.9,47.3,53.0,32.0,77.5,26.6,39.9,40.6,17.7,61.2,35.5,36.1
maxogden,extract-zip,9.0,3.2,,32.7,,9.4,28.2,,,41.7,28.9,45.9,66.5,25.6,28.5,44.1,,41.3,28.1,22.1
dominictarr,rc,31.3,,,34.4,90.9,9.3,28.0,,,51.4,45.9,42.3,80.3,37.3,28.4,36.9,,48.2,32.5,30.1
protobufjs,protobuf.js,33.5,28.3,22.4,34.4,48.8,33.1,50.8,24.9,23.6,57.6,78.8,85.4,13.2,53.0,41.8,47.4,26.5,51.5,65.8,41.5
kriskowal,q,41.1,20.2,9.3,54.2,80.5,16.2,36.4,12.3,,76.1,86.0,83.1,88.2,47.2,36.6,43.9,,65.9,61.8,42.5
chimurai,http-proxy-middleware,34.7,20.2,26.1,82.7,10.0,26.9,44.5,25.8,10.5,71.7,79.9,77.6,89.1,40.3,42.7,74.6,20.9,32.7,61.5,44.0
jantimon,html-webpack-plugin,39.3,36.9,27.5,45.2,47.5,32.7,50.8,19.4,28.0,69.2,80.3,84.4,86.3,25.8,51.9,61.7,26.3,67.5,65.8,48.3
reactjs,react-transition-group,20.4,19.5,,29.2,33.0,13.1,39.2,,,62.9,79.5,73.7,73.9,24.4,54.7,89.2,1.4,73.3,55.4,37.8
auth0,node-jsonwebtoken,43.9,23.7,24.3,58.2,69.5,24.6,46.0,19.9,7.8,51.6,87.7,83.0,4.3,31.4,35.1,20.4,15.3,69.6,65.1,38.8
react-bootstrap,dom-helpers,18.3,20.6,,15.1,37.5,10.7,32.0,,,38.2,29.2,31.7,74.2,17.9,40.7,83.2,,38.9,23.9,27.0
mde,ejs,41.2,21.2,,77.7,65.8,14.9,41.2,3.5,,68.2,75.2,76.4,83.3,38.0,37.2,51.4,0.2,60.1,55.5,40.4
TooTallNate,node-bindings,25.3,3.4,,19.3,78.5,10.7,32.1,,,29.3,29.3,38.8,4.2,44.8,15.4,9.6,,36.5,26.3,20.2
hij1nx,EventEmitter2,20.0,4.6,,75.5,,14.4,39.5,3.5,,59.6,61.9,58.3,61.1,57.1,28.9,31.8,,54.9,44.9,30.7
sindresorhus,pretty-bytes,34.6,3.3,13.6,45.0,76.5,18.5,38.3,6.5,10.6,50.6,46.6,35.7,85.4,34.7,34.1,42.3,10.1,49.9,33.6,34.4
webpack-contrib,sass-loader,46.3,38.4,28.7,56.0,62.3,37.0,52.8,28.9,29.3,68.4,67.2,68.3,87.6,50.7,52.5,76.4,30.7,50.5,57.5,51.1
AriaMinaei,pretty-error,22.4,,,37.9,51.7,10.7,32.1,,,48.7,53.5,26.3,86.0,28.9,32.2,62.8,,33.7,30.2,28.5
handlebars-lang,handlebars.js,31.6,26.1,25.2,55.7,19.2,37.8,52.0,30.9,30.4,75.6,88.1,90.1,76.2,48.1,61.1,78.0,29.4,75.9,72.0,51.5
browserify,commonjs-assert,28.3,4.3,8.6,35.8,64.6,19.2,35.0,11.8,10.7,22.3,24.7,29.1,4.1,31.2,20.0,20.1,9.0,30.8,24.3,22.4
JedWatson,classnames,47.9,39.9,29.1,60.8,61.9,36.9,48.5,35.9,26.4,63.5,87.6,71.4,75.0,20.1,48.7,47.9,28.2,69.9,65.3,49.3
motdotla,dotenv-expand,53.8,47.7,23.7,69.0,74.7,15.6,36.3,2.5,7.9,44.7,43.7,39.4,83.9,11.8,46.4,70.3,15.8,53.1,32.9,40.1
mafintosh,tar-fs,24.6,3.0,1.3,24.3,69.7,14.6,33.2,2.5,8.0,39.2,27.7,36.0,65.3,27.7,31.0,32.6,11.6,48.8,26.1,27.3
webpack-contrib,mini-css-extract-plugin,48.0,42.3,27.6,59.6,62.6,35.8,54.3,26.2,26.8,62.5,68.4,67.3,86.8,27.6,50.3,64.1,30.0,56.7,57.2,49.2
webpack,webpack-dev-server,53.2,44.4,30.3,79.4,58.5,36.0,53.1,36.1,18.8,78.6,75.7,85.9,89.7,63.0,57.5,64.4,31.5,76.7,65.9,56.3
bripkens,connect-history-api-fallback,21.7,,2.2,30.3,54.5,14.1,34.8,2.4,5.0,56.5,55.9,47.6,90.2,32.1,35.9,83.4,3.4,21.0,39.2,32.0
webpack-contrib,file-loader,30.8,,,60.6,62.5,10.0,30.0,,,65.5,56.1,60.9,87.9,57.1,48.2,88.1,,56.6,42.3,38.6
jashkenas,underscore,39.2,24.7,16.1,59.0,57.2,23.0,42.8,14.0,12.0,78.3,94.4,96.3,72.9,49.5,58.2,75.2,17.6,81.6,71.2,49.7
github,fetch,50.4,35.2,26.0,83.0,57.2,40.7,52.6,37.2,32.3,78.4,93.3,93.2,85.0,42.0,53.5,51.2,36.0,73.2,75.7,55.7
prettier,eslint-plugin-prettier,38.0,27.9,28.2,73.5,22.4,40.4,54.0,35.9,31.3,51.5,63.4,54.2,72.0,16.5,48.4,54.7,32.4,58.1,52.7,44.6
winstonjs,winston,50.4,31.0,33.6,89.2,47.8,41.5,56.0,34.2,34.4,75.0,91.2,88.6,59.9,60.2,53.2,50.2,33.0,76.4,73.8,55.0
nodejs,node-gyp,47.8,22.6,29.5,83.1,56.1,43.5,57.6,35.5,37.4,74.1,78.9,88.2,77.4,52.1,48.1,38.0,38.8,67.6,70.2,53.4
jsx-eslint,eslint-plugin-jsx-a11y,35.1,15.1,23.0,80.1,22.1,36.8,53.2,26.8,30.3,63.5,64.3,73.3,84.4,32.0,54.0,49.6,34.4,78.0,58.1,47.3
expressjs,serve-index,23.9,2.7,,37.9,54.9,10.7,32.0,,,53.3,30.9,49.2,90.3,42.8,20.7,48.0,,14.2,30.3,27.1
zspecza,common-tags,33.6,,,73.9,60.4,9.9,29.7,,,31.3,57.7,34.1,4.0,29.4,40.5,59.5,,61.9,33.9,28.8
felixge,node-stack-trace,28.7,2.4,,33.4,78.9,11.5,34.4,,,33.2,31.6,23.5,30.9,46.8,37.4,63.9,,48.2,22.2,27.7
ramda,ramda,36.0,35.4,22.6,49.4,36.8,39.2,53.4,29.0,35.4,71.7,92.3,86.0,60.5,48.1,63.1,66.8,30.4,92.1,72.5,52.5
syntax-tree,unist-util-visit,30.2,,5.2,67.6,47.9,15.1,29.9,10.4,5.1,32.6,22.3,15.4,62.3,30.5,26.6,40.0,4.2,35.5,17.6,26.1
sindresorhus,gzip-size,23.3,7.1,,52.7,33.4,10.8,32.4,,,37.1,19.2,15.1,84.1,30.1,29.8,42.7,,46.6,15.0,25.2
survivejs,webpack-merge,34.0,21.6,11.2,71.1,32.1,25.4,43.1,12.6,20.6,50.7,61.1,47.5,78.5,15.8,38.7,57.3,14.7,44.0,44.7,37.2
indutny,elliptic,25.6,2.3,,26.8,73.5,11.5,34.6,,,56.6,54.0,65.7,82.7,24.1,42.8,74.0,,54.5,43.7,34.2
cssnano,cssnano,33.2,35.3,29.8,54.3,13.5,38.8,51.6,33.1,31.6,65.6,68.3,63.5,87.4,43.3,56.5,67.1,33.5,68.8,56.9,48.5
graphql,graphql-js,28.5,22.9,27.6,42.4,21.3,41.0,53.7,34.4,34.9,56.5,89.4,89.6,3.9,43.1,56.5,54.9,39.9,74.8,73.3,45.6
kulshekhar,ts-jest,41.9,31.1,34.1,64.7,37.8,40.6,54.1,33.7,34.0,60.3,73.8,68.8,63.6,35.0,59.5,75.2,38.0,65.3,61.1,50.6
aws,aws-sdk-js,49.8,35.0,29.8,87.9,46.7,43.6,56.3,38.1,36.4,58.4,75.3,86.9,3.7,67.8,42.0,24.6,40.5,60.9,68.6,48.5
hughsk,flat,41.1,24.1,15.2,37.0,88.2,27.5,40.1,21.7,20.7,53.9,55.1,54.8,67.6,38.0,39.1,44.6,17.6,55.1,45.8,40.4
alexreardon,memoize-one,27.7,30.5,,42.2,38.0,10.6,31.8,,,46.4,62.2,36.7,65.6,20.9,30.4,73.6,,17.8,36.5,28.8
expressjs,cors,41.2,34.2,2.1,71.1,57.4,16.7,38.2,11.8,,63.8,72.4,69.5,79.1,34.1,36.4,44.2,3.1,61.8,52.9,39.5
remix-run,react-router,31.4,27.6,27.5,58.2,12.4,49.2,61.4,44.4,41.7,82.0,97.6,97.7,79.3,53.2,63.1,81.3,44.7,63.4,81.5,56.4
crypto-browserify,createHash,6.6,,,26.4,,9.9,29.7,,,13.7,12.3,20.6,3.0,19.1,12.9,12.5,,26.2,14.3,10.8
BerkeleyTrue,warning,20.6,,,50.8,31.5,10.6,31.9,,,33.4,21.8,17.3,72.3,22.4,38.5,79.8,,35.9,16.6,25.8
then,is-promise,20.1,,,29.4,51.0,9.5,28.4,,,40.7,23.9,19.8,78.8,40.2,18.8,36.4,,19.9,17.7,22.3
immerjs,immer,22.6,28.0,15.6,36.5,10.5,21.9,43.4,17.2,5.2,70.9,94.0,78.1,81.6,29.9,57.1,85.8,19.1,66.3,64.7,43.1
avoidwork,filesize.js,38.2,26.0,20.5,46.0,60.2,33.5,44.1,26.6,29.8,54.1,53.3,39.9,83.4,39.9,39.8,53.8,17.8,48.0,42.2,41.4
jest-community,eslint-plugin-jest,29.8,29.8,31.3,39.5,18.6,42.3,54.2,40.0,32.6,54.6,48.1,56.4,79.8,34.0,57.8,60.2,37.7,75.5,48.9,46.1
typicode,husky,39.1,37.3,35.0,41.5,42.5,44.5,60.5,35.2,37.7,71.8,95.5,80.9,64.4,46.6,47.9,58.8,36.0,48.9,73.6,50.8
mscdex,busboy,27.0,13.0,6.4,30.5,58.2,19.2,42.6,9.6,5.3,55.5,61.6,55.6,73.0,31.9,24.2,40.2,5.4,27.1,45.5,31.5
stefanpenner,es6-promise,28.0,,,30.5,81.6,10.7,32.2,,,62.4,74.7,72.5,74.3,28.0,53.2,83.0,,76.7,52.6,38.6
postcss,postcss-import,37.3,35.6,31.5,30.4,51.6,32.2,45.6,30.6,20.4,54.5,51.4,45.2,81.9,39.7,44.1,46.3,25.8,60.1,42.9,42.0
MikeMcl,bignumber.js,31.5,36.6,15.5,34.4,39.5,28.3,49.8,14.6,20.5,63.1,73.5,75.6,66.6,36.6,21.1,32.2,10.8,20.4,59.1,36.0
felixge,node-dateformat,30.5,,,43.2,79.0,10.6,31.7,,,42.7,50.9,51.1,10.0,58.9,41.3,53.0,,70.9,37.5,31.3
benjamn,recast,36.8,18.0,24.6,31.8,72.7,28.6,46.7,26.9,12.1,60.0,68.8,64.8,68.0,38.5,55.4,68.6,20.6,77.0,54.1,45.2
validatorjs,validator.js,34.4,24.5,22.6,54.3,36.1,41.5,58.5,31.4,34.6,61.6,91.7,91.2,7.0,56.5,51.1,28.9,37.7,86.8,74.8,47.1
reduxjs,redux,38.7,20.1,24.0,88.5,22.3,46.4,59.4,39.2,40.4,78.1,98.2,98.5,74.9,40.6,68.2,87.9,39.5,77.1,81.0,57.8
moment,moment-timezone,38.9,35.6,16.3,56.6,47.2,30.2,51.8,18.4,20.3,67.6,66.7,78.7,64.1,60.9,54.9,64.0,20.8,79.8,58.5,47.9
hapijs,joi,42.0,35.9,33.5,41.3,57.5,41.5,57.9,34.1,32.5,71.3,90.1,86.5,72.5,36.2,52.6,45.4,28.7,83.8,72.7,51.9
node-formidable,formidable,40.9,32.7,22.0,71.1,37.8,20.4,44.6,11.2,5.4,67.3,74.0,74.8,67.0,53.5,54.5,75.1,21.6,66.8,56.4,45.8
remix-run,history,16.3,16.2,,36.1,12.7,12.0,36.1,,,65.1,76.8,80.6,74.6,28.6,45.1,81.1,,54.3,56.5,34.6
dominictarr,split,26.9,,,16.9,90.8,10.1,30.4,,,38.6,27.6,22.9,67.4,36.6,17.7,34.2,,19.0,20.2,23.4
yeoman,configstore,33.0,15.6,,51.3,65.3,12.1,36.2,,,48.5,43.4,28.0,77.2,45.5,32.4,41.5,3.2,52.6,27.8,31.5
gulpjs,findup-sync,26.3,,10.5,38.2,56.2,13.5,32.3,2.8,5.5,38.6,15.0,18.6,73.1,47.8,26.2,43.8,5.1,29.6,15.7,26.1
airbnb,babel-plugin-dynamic-import-node,26.2,,,43.1,61.9,10.2,30.5,,,39.9,36.0,31.3,84.2,8.2,30.4,55.3,,35.9,25.8,26.7
image-size,image-size,30.2,19.7,13.6,40.2,47.2,22.4,41.6,21.4,4.0,56.9,57.1,53.1,76.9,40.5,36.6,71.0,3.2,35.6,44.2,36.5
ladjs,superagent,36.6,18.5,23.1,63.1,41.5,36.1,50.8,27.8,29.9,76.3,86.7,84.6,64.8,69.2,56.3,59.6,24.7,84.6,69.1,51.3
tildeio,rsvp.js,24.1,,,42.2,54.2,12.9,29.8,8.8,,59.9,66.1,60.8,77.3,35.4,55.8,87.8,,79.6,46.6,38.2
normalize,mz,19.2,,,29.8,46.8,10.0,30.1,,,45.5,52.0,28.1,78.0,23.8,30.6,43.5,,48.3,30.0,26.3
ljharb,js-traverse,31.9,,15.3,64.0,48.1,23.2,35.6,17.4,16.6,7.2,11.4,10.0,7.1,0.3,28.0,17.1,23.6,43.3,14.9,22.6
pimterry,loglevel,42.7,29.5,23.8,56.6,61.0,28.8,42.9,30.2,13.3,60.2,60.4,51.7,79.7,49.0,40.1,44.7,16.0,59.7,47.0,43.0
Urthen,case-sensitive-paths-webpack-plugin,17.4,3.1,,19.6,46.9,10.8,32.3,,,37.3,30.4,24.9,83.1,10.7,44.1,85.4,,47.0,22.0,27.4
blakeembrey,pluralize,28.0,3.1,0.5,40.6,67.9,12.5,33.2,1.1,3.1,57.5,58.2,53.5,73.2,44.9,41.2,68.9,1.6,53.0,41.4,34.8
dashed,shallowequal,21.9,,,33.6,53.9,10.1,30.2,,,30.2,19.3,14.0,70.7,17.0,39.2,80.7,,36.8,14.5,25.3
shelljs,shelljs,42.8,34.2,26.5,79.8,30.7,32.9,49.2,24.3,25.3,71.2,85.2,75.4,72.1,52.2,46.9,46.5,24.2,70.0,64.5,48.5
markedjs,marked,29.4,24.3,25.2,59.5,8.5,49.1,62.6,44.8,40.0,80.7,95.6,94.1,63.1,70.0,58.8,58.4,41.7,76.3,79.6,54.5
http-party,node-portfinder,18.8,,,23.3,51.8,11.3,32.3,1.7,,55.4,43.5,40.3,82.6,55.1,39.2,53.4,0.5,63.8,31.7,31.2
PrismJS,prism,28.1,26.4,14.8,42.8,28.6,21.1,48.2,15.2,,61.0,82.0,84.0,20.8,57.0,45.7,56.2,12.4,68.4,62.4,39.0
chaijs,chai,48.7,35.4,26.7,75.8,56.9,39.1,55.8,32.5,29.2,70.3,76.5,74.6,67.8,62.2,52.7,53.3,31.3,73.4,63.4,52.7
domenic,opener,26.2,20.9,,21.6,62.4,11.5,34.5,,,40.7,25.1,18.7,71.3,47.5,27.5,64.0,,18.6,18.4,26.5
sindresorhus,get-port,31.5,,,50.7,75.2,10.8,32.5,,,44.0,43.0,32.7,66.1,34.1,32.7,36.2,7.5,54.4,28.8,29.7
okonet,lint-staged,38.8,25.0,23.8,46.3,60.0,41.9,58.6,36.5,30.6,63.5,83.2,67.8,62.0,41.0,50.3,52.5,34.5,64.1,64.3,48.6
webpack-contrib,url-loader,29.1,,,55.1,61.5,10.8,32.5,,,58.5,52.1,50.2,79.0,52.6,46.3,85.2,,53.8,37.7,36.2
reactjs,react-lifecycles-compat,21.4,,,52.9,32.9,10.6,31.9,,,31.8,32.0,20.7,70.3,4.1,41.9,79.1,,46.5,21.1,26.4
luisrudge,postcss-flexbugs-fixes,12.7,,,38.8,12.2,13.7,32.0,9.2,,40.6,39.8,21.3,82.2,18.9,41.5,72.2,,52.3,24.9,27.1
jquery,jquery,52.5,29.0,31.1,88.5,61.5,40.0,55.7,36.8,27.5,83.8,97.9,98.7,79.5,59.0,64.0,69.7,34.6,87.7,78.9,60.1
cheeriojs,cheerio,47.0,31.8,34.3,73.7,48.3,41.9,50.4,46.1,29.1,77.7,94.5,87.3,64.9,64.2,59.1,66.0,37.9,73.4,74.6,56.4
mochajs,mocha,33.5,39.0,25.4,40.8,28.6,37.1,52.4,30.0,29.0,81.3,91.6,93.4,70.5,69.5,64.9,75.6,35.1,84.0,74.0,54.2
ljharb,json-stable-stringify,35.0,25.2,14.7,52.0,48.1,29.1,43.3,22.6,21.2,24.8,12.0,10.6,76.4,0.1,35.5,41.5,24.0,40.9,17.2,31.1
rbuckton,reflect-metadata,35.1,31.6,24.5,44.7,39.8,23.3,36.2,30.4,3.2,54.8,63.2,52.5,73.6,30.1,22.5,46.8,11.2,9.7,46.3,33.9
tomas,needle,35.5,11.8,25.2,51.2,53.9,27.1,44.3,15.7,21.3,61.9,53.9,58.7,75.4,59.5,46.2,59.1,16.3,63.0,46.6,42.7
archiverjs,node-archiver,39.1,34.3,32.8,47.7,41.7,36.8,48.7,36.0,25.5,58.4,61.4,57.6,55.5,59.2,38.0,40.6,30.6,42.7,51.9,43.1
webpack-contrib,copy-webpack-plugin,41.9,34.6,21.6,49.4,62.2,31.5,45.0,24.0,25.6,59.4,62.0,62.1,76.7,36.9,49.7,61.6,27.6,60.0,51.9,45.7
reworkcss,css,29.1,12.7,4.6,38.4,60.7,13.9,32.0,9.8,,57.3,53.6,59.3,78.7,37.7,24.1,41.1,,31.3,42.3,31.1
js-cookie,js-cookie,44.6,36.6,20.9,84.2,36.8,28.2,41.0,26.9,16.5,68.9,91.0,90.5,58.2,36.0,39.7,42.1,24.2,52.8,69.9,45.4
chrisdickinson,raf,31.4,,,40.7,85.1,9.3,27.8,,,46.9,39.6,31.6,81.8,34.6,30.2,40.7,,49.8,26.8,29.4
webpack,webpack-cli,49.9,38.6,27.7,74.6,58.8,38.5,47.0,42.7,26.0,59.2,60.5,72.2,73.5,30.8,47.6,71.7,36.0,35.3,57.1,48.8
dominictarr,JSONStream,33.5,,,43.1,91.0,9.3,27.9,,,54.7,56.6,52.3,67.3,42.5,26.0,33.7,,44.4,39.4,30.9
d3,d3-array,18.9,,4.0,18.1,53.3,14.1,28.6,10.4,3.3,44.6,31.9,54.3,52.5,39.7,36.3,53.4,9.1,46.4,33.4,28.5
highlightjs,highlight.js,44.4,32.9,31.8,88.9,24.2,46.7,57.8,39.9,42.4,80.1,92.1,94.5,69.4,64.4,51.7,61.6,42.6,50.9,77.8,55.7
reduxjs,react-redux,36.5,25.9,22.3,75.3,22.4,42.5,53.2,38.5,35.8,75.8,92.2,94.2,74.8,42.1,63.4,80.7,37.1,72.5,76.3,54.6
facebook,fbjs,31.0,19.2,1.5,56.7,46.8,16.2,34.6,13.9,,52.4,57.3,63.1,72.6,16.6,51.7,80.9,7.8,66.5,45.5,37.8
