owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
mafintosh,tar-fs,2.137083333333333,1.1111111111111112,0.9325,2.7938888888888886,,,1.5333333333333334,7.015000000000001,3.333333333333333,,,0.02,0.01,3.25,0.45,6.816666666666666,,1.565,0.3803703703703704
webpack-contrib,mini-css-extract-plugin,4.265,1.2183333333333333,1.5475,2.742777777777778,6.413333333333333,4.355,2.7266666666666666,3.565,3.43,0.055,0.17,0.21,0.05,1.9,4.03,7.183333333333334,0.095,0.95,0.4927777777777777
webpack,webpack-dev-server,4.819583333333333,1.242222222222222,2.2887500000000003,3.078888888888889,7.06,4.73,3.823333333333333,3.665,3.4266666666666663,0.21,0.09,0.35,0.18,3.835,4.79,7.566666666666666,0.11,1.56,0.5907407407407407
bripkens,connect-history-api-fallback,1.85625,1.1111111111111112,2.1025,2.6950000000000003,,2.5,1.61,3.315,3.333333333333333,,,0.08,0.02,3.45,4.86,7.25,,0.835,0.4037037037037037
webpack-contrib,file-loader,1.6395833333333334,1.1111111111111112,2.06875,2.4705555555555554,,,2.9933333333333336,3.565,3.333333333333333,,,0.09,0.03,3.845,4.31,6.196666666666666,,1.215,0.4103703703703704
jashkenas,underscore,5.649583333333334,1.135,1.88125,2.681111111111111,9.843333333333334,4.865,3.88,4.01,3.36,0.005,0.04,1.24,0.71,4.675,0.9,6.163333333333334,0.02,1.86,1.028333333333333
github,fetch,5.622291666666667,1.3122222222222222,2.04625,3.487777777777778,8.65,5.0025,4.276666666666666,4.5600000000000005,3.466666666666667,0.17,0.3,1.18,0.36,3.035,3.61,7.833333333333333,0.1699999999999999,2.46,0.9507407407407406
prettier,eslint-plugin-prettier,4.815416666666667,1.3,0.79875,2.6872222222222217,9.363333333333332,4.91,2.9133333333333336,2.075,3.49,0.15,0.26,0.14,0.03,2.195,0.83,6.656666666666666,0.14,1.265,0.49
winstonjs,winston,5.148125,1.36,1.44375,2.818888888888889,6.960000000000001,4.4875,5.63,3.515,3.56,0.13,0.39,0.99,0.23,4.295,0.26,6.496666666666667,0.2,1.76,0.86
nodejs,node-gyp,5.070208333333333,1.5088888888888892,1.5325000000000002,2.9472222222222224,8.246666666666668,4.8725000000000005,3.6366666666666654,3.525,3.686666666666667,0.14,0.7,0.44,0.22,3.91,1.56,7.186666666666667,0.375,1.28,0.722962962962963
jsx-eslint,eslint-plugin-jsx-a11y,4.743541666666667,1.243888888888889,1.5699999999999998,3.234444444444444,8.246666666666668,4.8425,3.18,2.705,3.466666666666667,0.045,0.22,0.15,0.08,2.57,3.48,7.803333333333334,0.125,1.775,0.4912962962962963
expressjs,serve-index,1.3916666666666666,1.1111111111111112,2.03,2.9683333333333333,,,1.8766666666666667,3.69,3.333333333333333,,,0.02,0.02,3.22,4.86,8.28,,0.625,0.3837037037037037
zspecza,common-tags,1.61625,1.1111111111111112,0.6875,2.0338888888888884,,,2.77,3.695,3.333333333333333,,,0.09,0.01,2.65,,4.876666666666666,,1.225,0.4037037037037037
felixge,node-stack-trace,1.5854166666666667,1.1122222222222222,1.03625,2.350555555555556,,,1.6366666666666667,4.705,3.3366666666666664,,,0.02,0.01,4.105,0.01,5.486666666666667,,1.565,0.3807407407407407
ramda,ramda,4.6466666666666665,1.3333333333333333,1.24625,3.068888888888889,8.356666666666667,4.94,2.19,3.1,3.51,0.06,0.43,1.07,0.18,3.455,0.28,6.296666666666667,0.22,2.69,0.8611111111111112
syntax-tree,unist-util-visit,1.61375,1.1144444444444443,0.7725,2.587222222222222,,0.005,3.51,2.94,3.333333333333333,0.01,,0.01,,2.75,0.33,6.766666666666667,,0.995,
sindresorhus,gzip-size,2.3091666666666666,1.1111111111111112,1.6575,3.1572222222222224,3.31,,3.0966666666666662,2.83,3.333333333333333,,,0.01,,3.19,3.43,7.8066666666666675,,1.665,
survivejs,webpack-merge,5.053541666666668,1.1549999999999998,1.195,2.658888888888889,9.973333333333334,4.992500000000001,2.5333333333333337,2.715,3.37,0.005,0.09,0.12,0.02,2.73,1.91,6.886666666666667,0.045,1.045,0.4316666666666666
indutny,elliptic,1.5054166666666666,1.1122222222222222,1.57375,2.79,,,1.1966666666666663,4.825,3.3366666666666664,,,0.07,0.04,3.135,3.05,7.109999999999999,,1.26,0.4074074074074074
cssnano,cssnano,4.015416666666667,1.268333333333333,1.82125,3.1299999999999994,6.12,4.74,2.846666666666667,2.355,3.45,0.095,0.26,0.21,0.04,2.935,4.1,7.919999999999999,0.14,1.33,0.5061111111111111
graphql,graphql-js,4.079375000000001,1.3716666666666664,1.01625,2.3588888888888886,7.103333333333333,4.822500000000001,2.276666666666667,2.115,3.54,0.145,0.43,0.91,0.25,2.905,,5.306666666666666,0.285,1.485,0.8438888888888888
kulshekhar,ts-jest,4.206041666666667,1.335,0.8025000000000001,2.265555555555556,6.36,4.3625,3.5066666666666664,2.595,3.53,0.125,0.35,0.31,0.06,2.47,0.37,5.346666666666667,0.21,1.24,0.5683333333333334
aws,aws-sdk-js,5.357083333333334,1.4883333333333333,1.59,2.7,8.403333333333334,4.935,4.53,3.56,3.66,0.235,0.57,0.34,0.2,5.82,,6.62,0.35,1.13,0.6761111111111111
hughsk,flat,5.6535416666666665,1.1588888888888889,1.08125,3.2783333333333338,9.963333333333331,4.9975000000000005,1.7433333333333334,5.91,3.3666666666666667,0.02,0.09,0.08,0.03,3.665,0.55,6.82,0.045,2.97,0.422962962962963
alexreardon,memoize-one,3.475,1.1111111111111112,0.7,2.205,9.216666666666669,,1.903333333333333,2.78,3.333333333333333,,,0.13,0.01,2.2,0.46,5.94,,0.675,0.417037037037037
expressjs,cors,4.117083333333333,1.1188888888888886,1.4812500000000002,3.16,7.283333333333334,2.5,2.9800000000000004,3.705,3.3466666666666662,0.01,,0.27,0.06,3.555,2.04,7.34,,2.14,0.4829629629629628
remix-run,react-router,4.6691666666666665,2.145555555555555,2.33875,2.765,9.61,5.239999999999999,2.796666666666667,1.03,4.366666666666666,0.64,1.43,2.35,1.29,3.435,2.28,6.0,1.13,1.165,1.9285185185185183
crypto-browserify,createHash,0.4233333333333333,1.1111111111111112,0.72125,2.535555555555556,,,1.6933333333333334,,3.333333333333333,,,,,2.885,,6.666666666666667,,0.94,
BerkeleyTrue,warning,1.0616666666666668,1.1111111111111112,0.91875,2.285555555555556,,,2.3866666666666667,1.86,3.333333333333333,,,0.01,,2.815,0.85,5.6066666666666665,,1.25,
then,is-promise,1.3595833333333334,1.1111111111111112,1.3962499999999998,2.7372222222222224,,,1.7733333333333334,3.665,3.333333333333333,,,0.01,,3.595,1.98,7.326666666666667,,0.885,
immerjs,immer,4.1710416666666665,1.1377777777777778,1.5275,2.321111111111111,8.306666666666667,4.0125,2.2,2.165,3.3833333333333333,0.03,,1.22,0.11,2.0,2.78,5.663333333333334,0.01,1.29,0.8225925925925925
avoidwork,filesize.js,5.097083333333333,1.2261111111111112,1.815,2.9855555555555555,9.9,4.964999999999999,1.9833333333333327,3.54,3.4133333333333336,0.045,0.22,0.07,0.01,3.87,3.31,7.696666666666666,0.11,1.15,0.4353703703703704
jest-community,eslint-plugin-jest,4.103541666666667,1.3477777777777775,1.1725,2.9055555555555554,7.669999999999999,4.827500000000001,1.656666666666667,2.26,3.4633333333333334,0.28,0.3,0.05,0.03,2.23,2.38,6.976666666666667,0.195,1.545,0.4759259259259258
typicode,husky,4.566458333333333,1.508333333333333,1.28,2.690555555555555,8.913333333333332,4.3475,2.11,2.895,3.7,0.125,0.7,1.42,0.13,3.16,0.41,6.706666666666666,0.36,1.005,1.0194444444444442
mscdex,busboy,4.437916666666666,1.117222222222222,1.12375,2.651111111111111,7.729999999999999,5.0,1.586666666666667,3.435,3.3466666666666662,0.005,,0.12,0.03,3.445,0.9,6.963333333333334,,0.99,0.4224074074074073
stefanpenner,es6-promise,1.909166666666667,1.1111111111111112,1.1775,2.3005555555555555,,,1.586666666666667,6.05,3.333333333333333,,,0.33,0.08,3.26,1.04,4.996666666666666,,1.905,0.5070370370370371
postcss,postcss-import,4.563333333333333,1.1788888888888889,1.49125,2.927222222222222,9.0,4.525,1.4433333333333334,3.285,3.376666666666667,0.07,0.09,0.06,0.02,3.075,2.81,7.596666666666667,0.0499999999999999,1.135,0.4196296296296296
MikeMcl,bignumber.js,4.7475000000000005,1.1644444444444442,1.125,2.518333333333333,9.173333333333334,4.9,1.6366666666666667,3.28,3.393333333333333,0.01,0.09,0.29,0.09,3.63,0.49,6.830000000000001,0.045,0.68,0.5148148148148147
felixge,node-dateformat,1.3304166666666666,1.1111111111111112,1.0762500000000002,2.621111111111111,,,0.6166666666666666,4.705,3.333333333333333,,,0.06,0.02,4.2250000000000005,,5.923333333333333,,1.94,0.3970370370370371
benjamn,recast,4.591041666666667,1.171111111111111,1.12875,2.850555555555556,7.906666666666666,4.857500000000001,1.61,3.99,3.373333333333333,0.1,0.04,0.22,0.04,3.675,0.58,6.316666666666666,0.025,2.21,0.477037037037037
validatorjs,validator.js,4.413958333333333,1.3883333333333334,1.4175,3.1888888888888887,7.066666666666666,4.9425,2.436666666666667,3.21,3.56,0.215,0.39,1.02,0.29,4.359999999999999,,6.576666666666667,0.22,2.77,0.8994444444444444
reduxjs,redux,5.4920833333333325,1.6733333333333331,2.18,1.958888888888889,9.466666666666669,5.065,5.036666666666666,2.4,3.75,0.2299999999999999,1.04,2.75,1.95,2.85,1.17,3.5666666666666664,0.54,1.77,2.1244444444444444
moment,moment-timezone,5.113333333333333,1.171111111111111,1.13625,2.7588888888888885,8.68,4.95,3.1333333333333333,3.69,3.4133333333333336,0.01,0.09,0.17,0.11,3.875,0.39,6.536666666666666,0.045,1.695,0.4837037037037037
hapijs,joi,4.501041666666667,1.3116666666666663,1.4150000000000005,3.3138888888888887,7.45,4.5275,2.606666666666667,3.42,3.53,0.105,0.3,0.93,0.19,3.68,0.86,6.9366666666666665,0.155,2.85,0.8105555555555554
node-formidable,formidable,4.991875,1.126111111111111,1.3525,2.415,8.243333333333334,4.4275,3.966666666666667,3.33,3.373333333333333,0.005,,0.31,0.09,4.5,0.51,5.84,0.015,1.39,0.5087037037037038
remix-run,history,1.4275000000000002,1.1133333333333333,1.075,2.1894444444444443,2.853333333333333,,1.8266666666666669,1.03,3.34,,,0.38,0.12,2.73,1.07,5.593333333333334,,0.975,0.5377777777777778
dominictarr,split,2.20125,1.1111111111111112,1.065,2.5772222222222223,,,1.0399999999999998,7.765,3.333333333333333,,,0.02,,3.7,0.54,6.846666666666667,,0.885,
yeoman,configstore,3.7504166666666654,1.1133333333333333,1.295,3.0283333333333338,8.893333333333333,,2.063333333333333,4.045,3.34,,,0.04,0.01,3.64,1.49,7.16,,1.925,0.3877777777777778
gulpjs,findup-sync,1.9875,1.1111111111111112,1.1425,2.581666666666667,,2.345,2.2,3.405,3.333333333333333,,,,,3.66,0.91,6.960000000000001,,0.785,
airbnb,babel-plugin-dynamic-import-node,1.5033333333333334,1.1111111111111112,1.4375,2.841111111111111,,,2.2533333333333334,3.76,3.333333333333333,,,0.03,0.01,2.27,3.44,7.683333333333333,,0.84,0.3837037037037037
image-size,image-size,4.820208333333333,1.1244444444444446,1.2425,2.511111111111111,8.673333333333334,5.0025,1.63,3.975,3.353333333333333,0.02,,0.09,0.02,3.42,1.44,6.793333333333333,,0.74,0.4114814814814815
ladjs,superagent,4.662083333333333,1.2305555555555554,1.405,3.495000000000001,7.8,4.905000000000001,3.2433333333333327,2.7,3.4266666666666663,0.045,0.22,0.75,0.17,4.28,0.42,6.640000000000001,0.11,3.735,0.7168518518518519
tildeio,rsvp.js,1.24625,1.112777777777778,1.33625,2.28,,,1.71,3.275,3.333333333333333,0.005,,0.17,0.03,3.655,1.49,4.47,,2.37,0.4375925925925927
normalize,mz,1.278333333333333,1.1111111111111112,1.2375,2.9038888888888885,,,1.4433333333333334,3.67,3.333333333333333,,,0.06,0.01,3.12,1.76,7.246666666666667,,1.465,0.3937037037037037
ljharb,js-traverse,2.82875,1.156111111111111,0.05625,2.5861111111111112,,4.905,3.24,3.17,3.3633333333333333,0.015,0.09,,,0.225,,6.663333333333334,0.0499999999999999,1.045,
pimterry,loglevel,5.2283333333333335,1.1583333333333334,1.50375,2.911111111111111,9.72,4.95,2.4833333333333334,3.76,3.36,0.075,0.04,0.11,0.02,3.535,2.35,7.443333333333332,0.02,1.27,0.4294444444444445
Urthen,case-sensitive-paths-webpack-plugin,1.2091666666666667,1.1111111111111112,1.42625,2.423888888888889,,,1.4266666666666667,3.41,3.333333333333333,,,0.02,0.01,2.495,3.18,6.066666666666666,,1.2049999999999998,0.3803703703703704
blakeembrey,pluralize,1.4541666666666666,1.1111111111111112,1.1375000000000002,3.083333333333333,,,1.8766666666666667,3.94,3.333333333333333,,,0.1,0.02,3.51,0.92,6.54,,2.71,0.4103703703703704
dashed,shallowequal,1.2404166666666667,1.1111111111111112,0.87125,2.106111111111112,,,1.6366666666666667,3.325,3.333333333333333,,,0.01,,2.745,0.73,5.273333333333333,,1.045,
shelljs,shelljs,4.929791666666667,1.1883333333333332,1.3625,2.7983333333333333,7.923333333333335,4.7175,4.073333333333333,3.005,3.4,0.035,0.13,0.64,0.09,3.89,0.83,6.93,0.065,1.4,0.6394444444444444
markedjs,marked,4.921666666666666,1.8822222222222225,1.61125,2.918333333333333,9.6,5.34,3.5966666666666662,1.15,3.8966666666666665,0.71,1.04,1.44,0.43,4.2250000000000005,0.35,6.68,0.5700000000000001,1.505,1.250740740740741
http-party,node-portfinder,1.4866666666666668,1.1111111111111112,1.7937499999999995,3.387222222222222,,,1.366666666666667,4.58,3.333333333333333,,,0.04,0.01,4.105,3.02,7.656666666666666,,2.505,0.387037037037037
PrismJS,prism,4.0164583333333335,1.163888888888889,1.12375,2.463888888888889,6.18,4.2375,2.6333333333333333,3.015,3.466666666666667,0.025,,0.54,0.16,3.795,,5.986666666666667,0.005,1.4,0.6212962962962963
chaijs,chai,5.233333333333333,1.2605555555555557,1.25625,2.858333333333333,8.12,4.9,3.9333333333333336,3.98,3.466666666666667,0.095,0.22,0.37,0.09,4.005,0.56,6.66,0.12,1.795,0.5735185185185185
domenic,opener,3.827083333333333,1.1111111111111112,1.12875,2.5416666666666665,9.993333333333334,,1.4800000000000002,3.835,3.333333333333333,,,0.01,,3.735,0.77,6.739999999999999,,0.885,
sindresorhus,get-port,2.762083333333333,1.1111111111111112,0.9225,3.005555555555556,,,3.043333333333333,8.004999999999999,3.333333333333333,,,0.04,0.01,3.16,0.48,6.826666666666667,,2.19,0.387037037037037
okonet,lint-staged,4.932708333333333,1.321111111111111,0.94,2.654444444444445,8.74,5.0175,2.4233333333333333,3.55,3.553333333333333,0.15,0.26,0.58,0.05,2.81,0.32,6.533333333333334,0.145,1.285,0.6503703703703703
webpack-contrib,url-loader,1.49375,1.1111111111111112,1.47125,2.1916666666666664,,,2.41,3.565,3.333333333333333,,,0.06,0.02,3.825,1.98,5.419999999999999,,1.155,0.3970370370370371
reactjs,react-lifecycles-compat,1.07875,1.1111111111111112,0.64375,2.2,,,1.95,2.365,3.333333333333333,,,0.02,,1.845,0.71,5.5,,1.1,
luisrudge,postcss-flexbugs-fixes,0.8287500000000001,1.112777777777778,1.4137499999999998,2.871666666666666,,,1.6900000000000002,1.625,3.333333333333333,0.005,,0.03,,2.745,2.88,7.15,,1.465,
jquery,jquery,5.765,1.2766666666666666,3.1325000000000003,3.185555555555556,9.196666666666664,4.859999999999999,5.253333333333333,3.75,3.47,0.19,0.17,2.68,2.63,4.88,2.34,7.186666666666667,0.12,2.25,2.1955555555555555
cheeriojs,cheerio,4.694374999999999,1.535,1.48875,2.732777777777778,6.539999999999999,5.217499999999999,3.1299999999999994,3.89,3.28,1.105,0.22,1.25,0.21,4.075,0.42,6.293333333333334,0.305,1.6,0.9983333333333334
mochajs,mocha,4.066458333333333,1.211666666666667,1.6049999999999998,2.69,5.989999999999999,4.8475,2.6333333333333333,2.795,3.33,0.085,0.22,1.02,0.38,4.3,0.72,6.0,0.145,1.925,0.8705555555555556
ljharb,json-stable-stringify,4.61875,1.1050000000000002,0.39625,2.7566666666666664,7.669999999999999,5.005000000000001,2.63,3.17,3.2000000000000006,0.025,0.09,,,0.215,1.37,7.12,0.0499999999999999,1.1,
rbuckton,reflect-metadata,4.742708333333333,1.0766666666666669,0.99625,2.5172222222222222,9.693333333333332,4.8975,1.7700000000000002,2.6100000000000003,3.17,0.06,,0.14,0.02,2.845,0.98,6.976666666666667,,0.575,0.4122222222222222
tomas,needle,4.4089583333333335,1.1011111111111112,1.32625,2.873888888888889,7.623333333333334,4.552499999999999,2.14,3.32,3.2033333333333336,0.01,0.09,0.07,0.03,3.985,1.22,7.006666666666668,0.045,1.57,0.4003703703703704
archiverjs,node-archiver,3.7687500000000007,1.1700000000000002,1.01875,2.581111111111112,5.260000000000001,4.515000000000001,1.87,3.43,3.24,0.14,0.13,0.12,0.03,3.745,0.18,6.713333333333334,0.08,0.95,0.44
webpack-contrib,copy-webpack-plugin,5.031041666666668,1.1244444444444444,1.065,2.585555555555555,9.593333333333334,4.6625000000000005,2.303333333333333,3.565,3.2133333333333334,0.03,0.13,0.13,0.04,2.7,1.39,6.466666666666666,0.07,1.22,0.4314814814814814
reworkcss,css,3.4404166666666667,1.055,1.4475,2.650555555555556,3.14,5.0,1.5766666666666669,4.045,3.16,0.005,,0.07,0.03,3.74,1.95,7.316666666666666,,0.635,0.385
js-cookie,js-cookie,5.43875,1.1116666666666668,1.08375,2.661111111111111,9.443333333333332,4.94,4.156666666666667,3.215,3.2000000000000006,0.045,0.09,0.98,0.27,2.865,0.22,6.723333333333334,0.0499999999999999,1.21,0.7872222222222223
chrisdickinson,raf,1.7212500000000002,1.0522222222222222,1.60625,3.228333333333333,,,1.6900000000000002,5.195,3.1566666666666667,,,0.03,0.01,3.585,2.8,7.6,,2.085,0.364074074074074
webpack,webpack-cli,5.176666666666666,1.318888888888889,0.86625,2.3283333333333336,8.56,5.194999999999999,3.2866666666666657,3.665,3.236666666666667,0.55,0.17,0.12,0.07,2.305,0.97,6.11,0.19,0.685,0.5029629629629631
dominictarr,JSONStream,2.377083333333333,1.0522222222222222,1.1625,2.681666666666666,,,1.7433333333333334,7.765,3.1566666666666667,,,0.09,0.02,4.02,0.52,6.84,,1.2049999999999998,0.3874074074074074
d3,d3-array,1.789791666666667,1.0538888888888889,0.755,2.4972222222222222,,2.4975,1.2866666666666668,3.375,3.1566666666666667,0.005,,0.02,0.03,2.83,0.14,6.636666666666667,,0.855,0.367962962962963
highlightjs,highlight.js,4.846666666666667,2.021666666666667,1.6112499999999998,2.850555555555556,8.303333333333333,4.925000000000001,4.503333333333333,1.655,3.9500000000000006,0.285,1.83,1.04,0.45,4.315,0.64,6.756666666666667,0.96,0.8350000000000001,1.1705555555555558
reduxjs,react-redux,5.000624999999999,1.3627777777777776,1.36,2.456111111111111,8.94,5.0825000000000005,3.58,2.4,3.3833333333333333,0.225,0.48,1.06,0.43,2.87,1.08,5.5633333333333335,0.255,1.55,0.950925925925926
facebook,fbjs,2.237916666666667,1.0622222222222222,0.93875,2.197777777777778,0.29,2.5,3.2466666666666666,2.915,3.1666666666666665,0.02,,0.09,0.04,2.755,0.87,5.363333333333333,,1.23,0.3974074074074074
yeoman,update-notifier,3.328958333333333,1.055,1.275,3.157777777777778,6.739999999999999,0.0025,2.4633333333333334,4.11,3.16,0.005,,0.08,0.02,3.63,1.37,7.123333333333334,,2.35,0.385
postcss,postcss-nested,4.9262500000000005,1.0711111111111111,1.38375,3.1038888888888887,10.0,5.0,1.42,3.285,3.173333333333334,,0.04,0.05,0.01,2.945,2.53,7.466666666666666,0.02,1.825,0.377037037037037
csstools,postcss-plugins,5.526875,1.3683333333333332,1.05625,2.678333333333333,9.386666666666668,5.2775,4.373333333333334,3.0700000000000003,3.11,0.865,0.13,0.04,0.01,1.235,2.94,7.28,0.22,0.535,0.4727777777777777
angular,angular-cli,6.3304166666666655,2.583888888888889,1.58125,2.611666666666667,9.46,5.909999999999999,6.016666666666666,3.935,4.346666666666667,2.535,0.87,1.21,1.53,3.575,0.01,5.82,1.31,0.7050000000000001,1.7746296296296296
reduxjs,reselect,4.39375,1.2594444444444444,1.1175000000000002,2.532777777777778,8.48,5.145,1.55,2.4,2.953333333333333,0.525,0.3,0.87,0.09,2.78,0.73,6.353333333333334,0.1649999999999999,1.08,0.7398148148148147
fshost,node-dir,1.49875,0.9355555555555556,1.01875,2.5933333333333333,,,1.5599999999999998,4.4350000000000005,2.806666666666666,,,0.01,0.01,3.675,0.38,6.79,,0.99,0.3185185185185185
bruce,node-temp,1.4225,0.9355555555555556,1.125,3.198333333333333,,,1.5599999999999998,4.13,2.806666666666666,,,0.02,0.01,4.47,,6.52,,3.075,0.3218518518518519
Stuk,jszip,3.029166666666667,0.9477777777777776,1.4575,2.4855555555555555,6.636666666666667,,1.4,4.08,2.8433333333333333,,,0.43,0.16,4.73,0.51,6.116666666666667,,1.34,0.5125925925925925
sinonjs,sinon,5.323125,1.1866666666666668,1.2975000000000003,2.5083333333333333,8.363333333333335,4.892500000000001,4.996666666666667,3.04,2.99,0.14,0.43,0.43,0.1,4.470000000000001,0.19,6.38,0.225,0.92,0.5722222222222223
webpack-contrib,source-map-loader,5.002083333333334,1.0033333333333332,1.38625,2.643333333333333,9.256666666666668,4.91,2.276666666666667,3.565,2.85,0.03,0.13,0.02,0.01,3.135,2.38,6.75,0.07,1.11,0.3444444444444444
arcanis,pnp-webpack-plugin,1.09375,0.9355555555555556,0.7537499999999999,2.186666666666667,,,1.0399999999999998,3.335,2.806666666666666,,,0.01,,1.615,1.39,5.830000000000001,,0.73,
pngjs,pngjs,2.4985416666666667,0.9494444444444444,0.77,2.2094444444444443,,4.8425,1.9466666666666663,3.205,2.813333333333333,0.035,,0.03,0.01,2.7,0.34,5.833333333333333,0.005,0.79,0.3298148148148148
jshttp,basic-auth,1.3133333333333337,0.9355555555555556,1.0425,2.693888888888889,,,1.4433333333333334,3.81,2.806666666666666,,,0.03,0.01,3.28,0.85,6.936666666666667,,1.145,0.3251851851851852
Raynos,global,2.0308333333333333,0.9355555555555556,0.9175,2.521111111111111,,,1.5333333333333334,6.59,2.806666666666666,,,0.01,,3.16,0.5,6.833333333333333,,0.73,
JedWatson,react-select,4.369375000000001,1.162222222222222,1.2425,2.062222222222222,6.283333333333334,4.9225,2.7266666666666666,3.5450000000000004,3.1166666666666667,0.0699999999999999,0.3,1.23,0.52,3.08,0.14,4.636666666666667,0.15,1.4,0.9707407407407408
FezVrasta,popper.js,5.329166666666668,1.5483333333333331,1.31125,2.205,9.663333333333334,5.245,2.8433333333333333,3.565,3.36,0.545,0.74,1.28,0.19,2.955,0.82,5.5200000000000005,0.415,0.68,1.006111111111111
styled-components,polished,4.46375,0.9372222222222222,0.7125,2.205555555555556,8.633333333333333,1.84,4.846666666666667,2.535,2.806666666666666,0.005,,0.34,0.03,2.37,0.11,5.666666666666667,0.005,0.945,0.4357407407407407
pvorb,node-md5,1.5104166666666667,0.9355555555555556,1.005,2.4400000000000004,,,1.6366666666666667,4.405,2.806666666666666,,,0.04,0.02,3.96,,6.330000000000001,,0.99,0.3318518518518519
senchalabs,connect,1.6941666666666668,0.9355555555555556,1.6737499999999998,2.627222222222222,,,2.1166666666666667,4.66,2.806666666666666,,,0.44,0.14,4.475,1.64,7.206666666666667,,0.675,0.5051851851851853
styled-components,styled-components,4.763541666666667,1.4805555555555554,1.3375,2.416111111111112,7.376666666666668,4.882499999999999,4.260000000000001,2.535,3.3866666666666667,0.185,0.87,1.82,0.31,2.54,0.68,5.973333333333334,0.46,0.8150000000000001,1.2035185185185184
jfromaniello,url-join,4.400625,0.987222222222222,0.99375,2.7094444444444448,6.609999999999999,4.9875,1.61,4.3950000000000005,2.8366666666666664,0.035,0.09,0.02,0.01,3.555,0.39,6.783333333333334,0.045,1.3,0.339074074074074
apollographql,graphql-tag,3.4204166666666667,1.0038888888888888,0.7024999999999999,2.543888888888889,3.313333333333333,4.7700000000000005,3.543333333333333,2.055,2.856666666666667,0.025,0.13,0.11,0.02,2.39,0.29,6.566666666666666,0.07,0.995,0.377962962962963
brix,crypto-js,3.664791666666667,0.955,1.1725,2.663888888888889,7.816666666666667,0.7975,2.55,3.495,2.86,0.005,,0.69,0.3,3.49,0.21,6.736666666666667,,1.255,0.6483333333333333
arcanis,ts-pnp,1.09375,0.9355555555555556,0.72875,2.560555555555556,,,1.0399999999999998,3.335,2.806666666666666,,,,,1.585,1.33,7.1066666666666665,,0.575,
gregberge,svgr,4.953958333333334,1.14,1.2875,2.3161111111111112,6.686666666666667,4.8425,4.896666666666667,3.39,3.03,0.04,0.35,0.47,0.05,2.06,2.57,5.733333333333333,0.175,1.04,0.5533333333333333
kentcdodds,cross-env,2.1254166666666663,0.9355555555555556,0.94375,3.2983333333333333,,,2.996666666666666,5.505,2.806666666666666,,,0.28,0.03,2.6950000000000003,0.77,6.919999999999999,,2.975,0.4151851851851851
postcss,postcss-safe-parser,2.400208333333333,0.955,0.97125,2.555,,5.0025,1.3133333333333337,3.285,2.82,0.005,0.04,0.01,,2.695,1.18,7.0200000000000005,0.02,0.625,
octokit,rest.js,4.858333333333333,1.1761111111111109,0.2825,2.2377777777777776,8.466666666666667,4.535,4.366666666666666,2.065,2.983333333333333,0.195,0.35,0.02,0.01,1.1,,5.323333333333333,0.2249999999999999,1.165,0.4020370370370369
jergason,recursive-readdir,3.88875,0.9355555555555556,1.6949999999999998,2.901666666666667,9.883333333333333,,1.5066666666666668,4.165,2.806666666666666,,,0.02,0.01,3.92,2.83,7.399999999999999,,1.305,0.3218518518518519
blakeembrey,change-case,5.095000000000001,1.0805555555555555,0.95125,2.5550000000000006,9.476666666666668,4.93,2.0333333333333337,3.94,2.9566666666666666,0.065,0.22,0.1,0.01,3.535,0.16,6.650000000000001,0.11,0.905,0.3968518518518518
webpack-contrib,webpack-bundle-analyzer,5.393125,1.0466666666666666,0.8875,2.2466666666666666,9.956666666666663,4.8575,3.1933333333333334,3.565,2.89,0.03,0.22,0.57,0.06,2.27,0.65,5.41,0.11,1.22,0.5588888888888889
isaacs,node-touch,1.81625,0.9355555555555556,1.3737499999999998,2.330555555555556,,,1.5599999999999998,5.705,2.806666666666666,,,0.01,,4.005,1.48,6.416666666666667,,0.575,
remy,nodemon,5.449999999999999,1.025,1.87375,2.681666666666666,8.91,4.915,3.67,4.305,2.92,0.065,0.09,1.18,0.22,4.465000000000001,1.63,6.3500000000000005,0.38,1.315,0.8083333333333335
matthew-andrews,isomorphic-fetch,1.7879166666666668,0.9355555555555556,1.02625,2.6377777777777776,1.4566666666666668,,1.61,4.085,2.806666666666666,,,0.32,0.04,2.955,0.79,6.923333333333333,,0.99,0.4318518518518519
que-etc,resize-observer-polyfill,1.03375,0.9355555555555556,0.7075,2.082777777777778,,,1.5599999999999998,2.575,2.806666666666666,,,0.08,0.02,2.37,0.36,5.673333333333333,,0.575,0.3451851851851852
node-modules,detect-port,2.007083333333333,0.9355555555555556,0.7487499999999999,2.627777777777778,,2.5,2.053333333333333,3.475,2.806666666666666,,,0.02,,2.765,0.21,6.733333333333334,,1.15,
babel,babylon,1.7895833333333333,0.9355555555555556,0.6662499999999999,1.917777777777778,,,4.173333333333333,2.985,2.806666666666666,,,0.08,0.03,2.555,,4.783333333333334,,0.97,0.3485185185185185
emotion-js,emotion,4.375625,1.065,0.92625,1.6455555555555554,6.183333333333334,4.572500000000001,4.426666666666666,2.32,3.01,0.055,0.13,0.78,0.14,2.695,0.09,3.616666666666666,0.07,1.25,0.6616666666666666
